Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Channel Islands,CHI,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,28.39072451,26.54552396,26.11991041,30.27381056,28.00044838,28.43788869,29.13432777,29.6421623,30.37975752,28.83975449,27.88866078,26.75069754,28.15682761,26.19319553,25.08690787,23.43080434,20.64774144,19.99565392,18.84895014,20.25806045,20.8356111,20.86121232,20.05539819,,,,,,,,,,,22.99470385,24.59132943,26.10232943,24.50143744,19.11544719,21.55008461,22.66091326,22.10488657,20.99279061,20.6564877,21.14235766,20.85709928,21.16804322,22.17403062,21.73992715,19.93826675,24.15289695,26.00441349,
China,CHN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.625040826,10.12516151,16.73450248,11.07653773,11.66270616,11.23107994,11.23872601,11.13895896,10.95623652,10.78141365,10.80102769,10.4016161,10.34425151,9.862447336,9.608120015,8.674705067,8.474380751,8.413084009,
Cote d'Ivoire,CIV,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.09395625,,,,,,9.926424984,10.50195374,10.08614391,10.6855766,10.68830405,11.19380882,12.20292753,12.01804349,11.58707097,11.26065566,8.660484939,12.11102347,11.71300275,10.64433865,12.16411655,11.73123264,11.95450892,11.9666616,11.96286248,12.11201005,12.66432843,12.17427193,
Cameroon,CMR,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.26210927,15.15478092,15.51998269,9.780265097,7.795366132,9.893541121,,,12.93718435,12.18606623,,,,,,,,,,,,,15.86936479,15.81870256,16.33296162,15.48490098,14.51800493,14.69166468,15.15051992,14.84792253,13.12164302,13.7484595,,
"Congo, Dem. Rep.",COD,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.964746775,4.589333333,3.163841808,4.102270926,2.998202937,5.347839095,5.41637914,5.045500063,6.049560116,5.009276259,0.84222397,2.986574156,4.885593997,6.107773004,7.439356087,8.734704699,9.887927202,9.177959879,11.49012991,13.93746186,14.26562977,,12.54820111,11.28373151,11.05703021,10.75591665,9.261840571,7.97675532,8.718647537,7.706403904,7.729785137,10.56632855,14.16466918,
"Congo, Rep.",COG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.59122199,30.34823507,29.70764839,31.23835785,35.79931821,41.71746089,36.85783327,47.21098834,28.87488727,34.59708187,38.74729619,32.8290856,34.91024255,31.65453685,19.94571492,19.48529081,16.30817365,23.03105753,23.63814689,18.74487034,20.05141368,,
Colombia,COL,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.88569858,12.93096587,11.56481727,,,,,,,,,,,,,21.49284589,17.99793468,18.92588693,19.04284033,19.80957654,18.68901197,20.88827493,19.00683071,18.49943446,20.14510876,
Comoros,COM,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.38176819,24.65135373,20.71172367,21.21896516,18.67948474,18.2762289,19.34274288,18.14791141,18.73111144,17.84062343,20.9324135,19.79214399,20.66759646,22.80523813,21.64801345,21.56702957,,,
