"Country_Name","Country_Code","Year","Debt","GDP","GDP_Per_Capita","Revenue","Category","pandemic_year"
"Indonesia","IDN",2018,33.13941924,1042.27,3902.661675559,12.99328466,"Developing",0
"Indonesia","IDN",2019,33.72915562,1119.1,4151.22755440796,12.34853846,"Developing",0
"Indonesia","IDN",2020,42.90179665,1059.05,3895.61815200225,10.53699207,"Developing",1
"Indonesia","IDN",2021,44.40381707,1186.51,4334.23145407913,11.81544296,"Developing",1
"Indonesia","IDN",2022,45.54072326,1319.08,4787.91236404903,13.42388424,"Developing",0
"India","IND",2015,49.96471839,2103.59,1590.17433134297,12.41520954,"Developing",0
"India","IND",2016,47.63375559,2294.8,1714.27953738629,12.85101699,"Developing",0
"India","IND",2017,47.58360938,2651.47,1957.96981331058,12.7267619,"Developing",0
"India","IND",2018,46.52249867,2702.93,1974.37773145023,13.18853295,"Developing",0
"Ireland","IRL",2015,88.38886955,292.364,62179.2642662951,25.91190463,"Developed",0
"Ireland","IRL",2016,85.49461184,298.559,62784.0656875694,26.27715972,"Developed",0
"Ireland","IRL",2017,76.46198137,337.242,70150.7370157965,21.48056686,"Developed",0
"Ireland","IRL",2018,75.01688348,386.693,79446.9391085469,21.16454645,"Developed",0
"Ireland","IRL",2019,69.61080161,398.933,80848.3019020489,20.56044967,"Developed",0
"Ireland","IRL",2020,71.3027371,428.609,85973.0884875501,18.63504186,"Developed",1
"Ireland","IRL",2021,64.33586271,513.392,102001.798249145,19.43541123,"Developed",1
"Ireland","IRL",2022,46.71424172,533.14,103983.29133582,19.35757382,"Developed",0
"Iraq","IRQ",2015,27.39189089,166.774,4416.94292408042,30.59581162,"Developing",0
"Iraq","IRQ",2016,29.47606783,166.744,4308.84808910054,27.58450699,"Developing",0
"Iraq","IRQ",2017,35.86300616,187.218,4725.19357334032,34.56372568,"Developing",0
"Iraq","IRQ",2018,27.43824837,227.367,5601.46706102705,39.0612218,"Developing",0
"Iceland","ISL",2015,116.4854823,17.517210519,52951.6815110898,32.25040777,"Developed",0
"Iceland","ISL",2016,102.3152942,20.793168031,61987.9263620283,47.85536283,"Developed",0
"Iceland","ISL",2017,89.42446836,24.728285177,72010.1490316258,33.69076502,"Developed",0
"Iceland","ISL",2018,81.06558007,26.260850582,74452.1890731447,32.94257744,"Developed",0
"Iceland","ISL",2019,88.93152563,24.681343649,68452.23622306,30.36663456,"Developed",0
"Iceland","ISL",2020,101.249836,21.629953194,59023.5663465778,29.40408124,"Developed",1
"Iceland","ISL",2021,96.71358848,25.797870984,69252.3112431448,28.80612019,"Developed",1
"Iceland","ISL",2022,87.51781641,28.701830402,75135.0916136358,31.11055523,"Developed",0
"Italy","ITA",2015,149.9443926,1836.64,30242.3861352184,26.56910451,"Developed",0
"Italy","ITA",2016,147.7413316,1877.07,30960.7315088902,26.95999285,"Developed",0
"Italy","ITA",2017,145.0828887,1961.8,32406.7203150134,26.48433185,"Developed",0
"Italy","ITA",2018,139.9049515,2091.93,34622.1696664741,26.12793831,"Developed",0
"Italy","ITA",2019,147.5666498,2011.3,33673.7509627421,26.61038038,"Developed",0
"Italy","ITA",2020,176.1277932,1897.46,31922.9191626183,26.81629708,"Developed",1
"Italy","ITA",2021,164.2497486,2154.88,36441.0598048734,27.16398272,"Developed",1
"Italy","ITA",2022,139.0024117,2066.97,35068.8359738449,27.04043282,"Developed",0
"Jamaica","JAM",2015,124.6483008,14.188936918,5077.55096915616,27.46533101,"Developing",0
